,Attacks,Malware,Vulnerabilities,SecurityBudget,DeliveryDelay,CommodityPrices,Inventory,TransportCost,AuditDeficiencies,ComplianceFailures,PolicyChanges
2019-01-25,85,80,25,17324.04046214413,6.026764705920179,20.532551702734434,408,456.64161313062255,5,6,0
2019-01-26,67,48,20,21356.3199864004,16.08706655431749,21.828492621090298,325,159.22002761332027,6,3,0
2019-01-27,31,42,24,24929.43465782907,9.4876505409477,19.08521287244892,244,12.834811356120348,1,4,0
2019-01-28,98,45,33,22777.174890725506,17.623738949151416,24.797943441897498,444,232.5506592849008,4,5,0
2019-01-29,58,35,17,17258.39632223392,14.597055009293683,23.45917818705359,347,204.3169802323409,4,5,0
2019-01-30,68,54,24,16760.24755041134,10.334585902413492,18.552185642764435,461,116.20721305311814,4,7,0
2019-01-31,51,45,19,23662.328702676703,7.221856683132705,24.211968450951737,105,63.95803034089813,6,4,0
2019-02-01,69,61,23,19441.839479215043,5.658675620370714,30.342176702605396,130,103.44920062581711,3,3,0
2019-02-02,89,47,25,16370.528028281555,13.079727993075528,16.633707726051654,296,637.8223374694028,3,3,0
2019-02-03,24,63,4,23622.11423321938,4.944663390337749,28.37668257967038,331,59.150920677015904,5,3,0
2019-02-04,71,57,23,23160.923529142616,7.539522391506997,17.08262341700005,395,26.038820638744866,2,6,0
2019-02-05,71,50,13,24839.06363897164,9.54247535469588,27.05162977975249,424,34.18330315587861,1,5,0
2019-02-06,56,65,23,24097.43686712684,15.325179209222492,17.270319998233667,234,143.266149083963,2,6,0
2019-02-07,71,59,19,23517.903386605416,3.315054798442379,23.8283121257813,112,789.0664433811659,4,4,0
2019-02-08,60,79,26,15525.743978110031,10.130339603551416,20.898165552989845,103,1345.9437543569102,3,8,0
2019-02-09,64,45,10,16044.15369498118,6.549486116465305,11.07370766038055,277,284.35728960380374,1,10,0
2019-02-10,73,50,22,20689.83194304123,7.304502624320985,29.577761862428257,333,55.631748328846214,5,6,0
2019-02-11,12,65,15,20314.792462818208,15.211200230531679,15.522740054959765,358,61.862132806754396,1,7,0
2019-02-12,60,34,28,19579.632144895353,15.19471527535174,13.652003443216042,239,356.3228952032102,5,5,0
2019-02-13,16,63,32,18967.89325414584,10.55485788176256,16.802806096642456,164,562.0750770159565,2,8,0
2019-02-14,30,54,48,19312.10484864329,15.299367570501435,32.65623616631558,382,78.1010113000975,1,7,0
2019-02-15,82,41,26,20692.979341347953,16.166582840454733,13.731432062099312,462,616.741821639497,4,11,0
2019-02-16,48,36,25,15020.765176000812,5.995330885779976,20.891217588418137,405,117.97111743394638,2,6,0
2019-02-17,27,43,13,17607.087741328523,16.672111491955054,14.384188368294238,304,303.16705072187136,3,7,0
2019-02-18,13,27,16,20182.79720688711,21.34523763688792,15.241458809175265,116,466.5974929518752,2,5,0
2019-02-19,98,45,19,22222.16098673646,5.283134550266881,12.002887154352246,299,33.724755458638455,1,4,0
2019-02-20,69,56,26,16741.566923953964,14.756866227879135,21.5758410189921,131,233.09329159316295,3,4,0
2019-02-21,23,45,31,20468.81173787433,11.520235552263756,19.193900743755915,311,619.332660309666,4,8,0
2019-02-22,18,63,12,22144.59683885782,1.1073414654640805,14.343168782133553,372,84.71858335333343,2,2,1
2019-02-23,99,66,32,19446.27657913905,2.89884657400218,24.366017339792208,389,51.59467989813625,3,5,0
2019-02-24,62,62,24,15270.81133670051,9.102424171683472,24.893603576038732,390,243.41929137709866,4,4,0
2019-02-25,11,52,22,19492.681584656366,3.195212282307381,22.036093040903857,333,169.60009424440196,6,4,0
2019-02-26,93,26,13,17964.44887744153,5.978681244160813,25.85334969587069,281,106.98578431062728,2,8,0
2019-02-27,69,42,5,24296.496077013282,13.199108968053096,18.254948670176482,245,148.08512688119265,5,7,0
2019-02-28,80,48,21,16246.133856783274,11.217889145921719,21.61187348292238,149,27.930128877335022,2,5,0
2019-03-01,53,41,23,21524.75955507232,10.559799505490302,18.274251713559792,202,222.39950193000053,4,4,1
2019-03-02,17,48,13,15527.197663345012,5.963339775650317,12.463334410311592,132,729.6739972891498,2,5,0
2019-03-03,56,66,21,19461.704378126964,5.817799253432246,21.09623200415679,188,72.62608902322478,1,4,0
2019-03-04,44,33,28,20539.794872200808,11.226777027128941,20.793389531872293,484,64.81798230383195,7,4,0
2019-03-05,87,68,28,17979.549313168653,10.871467018184836,19.849028460289716,440,176.3660639785121,3,2,0
2019-03-06,90,58,32,19550.756355203845,12.411681561960524,21.8693769512172,414,2555.1787224993486,6,5,0
2019-03-07,45,52,17,16635.537945301872,16.052887063442217,27.0595121685493,340,445.8057297266589,6,4,0
2019-03-08,59,42,16,18041.23849468036,8.18964199167203,18.97790009209663,365,135.07432942730722,7,6,0
2019-03-09,13,41,25,21211.06324910203,8.220173661212566,15.21415615379387,322,154.4080568734536,3,4,0
2019-03-10,11,33,18,18018.00055861155,17.432556375552796,18.76124495270997,335,492.1811676364376,4,4,0
2019-03-11,15,67,8,23997.43078408872,12.03446342556601,19.315799833185988,252,59.77722601023552,4,2,0
2019-03-12,63,65,15,21284.069576409896,11.442375082716826,24.917942869740962,156,273.6206359408011,1,11,0
2019-03-13,13,35,18,19386.490184359845,7.599655100105411,20.533315516625596,421,48.54761122245831,9,5,0
2019-03-14,63,44,15,15387.569355541824,11.51185447170125,14.259053209903797,474,374.2464992514864,2,1,0
2019-03-15,72,54,16,19995.483352046715,9.19673801689002,24.027289317854457,211,110.6138832392338,1,5,0
2019-03-16,27,47,15,22647.762421250893,21.196651086412423,23.225639193969208,114,181.39811119356014,3,7,0
2019-03-17,99,30,4,17655.575980124137,10.91000070976842,20.535512258823072,368,103.6607880647015,3,7,0
2019-03-18,53,43,22,23067.735696487674,14.807746009769902,24.741232318189102,213,298.47515882511533,3,6,0
2019-03-19,43,69,21,17518.067660508816,14.762112254792589,25.578035056216958,351,124.62610357527561,2,3,1
2019-03-20,83,44,23,23237.463879508003,10.072614639619218,18.112797548571105,473,1284.3033189042278,3,6,0
2019-03-21,71,48,12,15852.683416116774,5.407990062481166,15.499193832450988,241,613.3082042734039,4,7,0
2019-03-22,23,38,15,23661.837088690296,14.493813366753198,19.940617901493752,213,40.27421096547226,1,5,0
2019-03-23,57,55,22,19991.864509333303,9.573101877505959,22.68305862717915,389,179.73007393841942,1,8,0
2019-03-24,24,51,22,17965.37589620262,8.018466042622476,19.473225306483197,456,309.56102080271273,3,4,0
2019-03-25,81,42,20,17651.132504151487,9.94325516216145,15.057882086221515,124,93.86341290931075,4,3,0
2019-03-26,87,36,16,19320.105589303625,5.266129767192979,20.813359862603598,467,498.9354376740423,3,7,0
2019-03-27,96,64,31,24990.49498103645,9.44855703694409,9.832496650047473,409,443.4791622697864,0,6,0
2019-03-28,71,33,16,17203.273934375826,9.108291194477617,18.37769463895233,354,136.5154024617901,6,0,0
2019-03-29,49,55,19,16032.166488789997,11.77928891034266,24.25582949745082,367,395.9214702238374,6,4,0
2019-03-30,94,28,23,20850.35168718662,7.914660964313748,24.52719183727388,225,13.32094095776271,1,7,0
2019-03-31,89,57,20,19885.42466440257,11.312783747418779,1.2011053666155362,492,576.8534275972427,3,1,1
2019-04-01,91,59,16,20241.962710633074,13.212410464410048,19.037079477734036,349,360.14574692017914,2,0,0
2019-04-02,62,60,18,21669.35417557217,11.546460185529092,22.996378976106293,386,50.0149672317631,3,4,1
2019-04-03,33,48,26,17671.440698706494,4.710004270231197,14.119589637838427,433,190.9249387738767,3,8,0
2019-04-04,35,65,15,24106.649953838885,8.84624820783676,18.140226625468358,152,19.564495874560503,4,8,0
2019-04-05,98,73,11,19356.720661222906,11.896729169027582,26.03858377954753,467,69.17063114670786,3,5,0
2019-04-06,69,46,16,16290.861951424618,13.667291997456806,17.579182917111282,142,443.91776800460264,4,5,0
2019-04-07,50,45,28,22422.98756733944,6.71926411831196,27.99320834452653,265,146.52027892807962,4,4,0
2019-04-08,38,51,8,21431.043526178502,11.717996668173491,16.294071417749922,141,138.62840769472874,3,3,0
2019-04-09,24,45,43,18157.43402484037,7.9872174592744685,27.049400858090156,479,155.27941797839023,2,7,0
2019-04-10,54,43,20,21215.187240340485,9.185382606367863,20.16781777435608,275,138.18181993956594,4,2,0
2019-04-11,74,44,40,17198.61956368977,4.1287644378257715,15.60836356399868,166,398.4132236167537,3,5,0
2019-04-12,98,67,33,19448.393593405293,2.8558463585250315,27.066070414596528,165,79.91874136676114,4,6,0
2019-04-13,80,57,19,23994.125221673254,8.690813521815688,13.967625232092246,499,225.73146247912777,2,2,0
2019-04-14,18,45,13,16335.342331607495,6.733451255731635,16.020138779703352,182,47.246677552744266,3,5,1
2019-04-15,97,25,11,18866.96449987462,14.83125806711306,22.449597036447393,449,311.40652977358644,3,5,0
2019-04-16,10,34,14,23211.424247203475,12.610888377398624,20.40408697251308,204,107.62241007857853,4,6,0
2019-04-17,17,55,24,24694.90899406178,13.707924885511646,21.36981878126439,499,142.45304934746108,2,3,0
2019-04-18,97,28,15,19539.26136421796,3.8960989868813445,18.1584083842188,386,103.31980296005287,4,4,0
2019-04-19,72,52,16,20069.996201433474,7.257972773577833,14.003032443179173,473,117.25447811608734,2,5,0
2019-04-20,20,39,18,20721.719617837698,8.718878429833003,16.738721184743525,285,54.34071557319514,3,10,0
2019-04-21,90,50,31,24323.48141633711,5.1482757948000835,26.601996407233354,383,206.2832165442857,4,3,0
2019-04-22,17,50,12,23582.067909770296,11.627287923061477,13.31509551975712,103,258.44013921620234,4,10,0
2019-04-23,44,51,-6,16706.011246216443,7.488629503671226,28.222337166749725,237,39.226786642744045,4,6,0
2019-04-24,44,46,6,19367.57817847075,10.810357549771,21.579294932792713,278,81.74462791336863,2,7,0
2019-04-25,42,45,31,19640.004281964262,11.409121661488111,17.015975470734514,336,152.93512970333117,0,2,0
2019-04-26,14,42,23,22890.961116487568,9.123144191743648,9.989735077613208,117,81.5610534434632,3,4,0
2019-04-27,50,54,15,21028.928826054354,11.922874889158107,10.646572079409534,402,118.76875720044417,2,2,0
2019-04-28,37,58,12,21542.20462029013,6.051643840570177,18.220580500700496,108,747.0273073509384,3,4,0
2019-04-29,16,37,15,24981.999076656175,10.358329214365444,17.61477967121214,128,53.615446875852996,1,10,0
2019-04-30,82,49,9,15749.60043470013,9.771502329788488,20.588742872315226,243,14.699492906918659,3,2,0
2019-05-01,81,51,33,17230.09823533733,15.27732423280501,28.595721671693433,447,81.5535767494394,3,5,0
2019-05-02,21,51,26,19078.95937371547,4.11348655065022,22.687970081351203,248,106.89428068115883,2,1,0
2019-05-03,43,51,19,18477.82403048887,10.441752690707329,19.356556086277145,163,90.9227323811142,0,6,0
2019-05-04,42,45,29,15216.455613469836,9.678173946118193,26.08422178370011,466,194.18497752634633,5,3,0
2019-05-05,57,52,14,15917.776064711757,8.158956027217448,20.753269633695528,479,53.08626543892476,4,3,0
2019-05-06,32,56,24,21809.53291403576,3.932329384137906,27.998544968800896,286,45.819963636272504,2,4,0
2019-05-07,71,51,28,23793.244633625607,5.332748774228121,16.63956853316319,465,75.60427472884143,2,7,0
2019-05-08,97,55,17,20142.270112659775,7.5394565592948775,14.261046140712008,326,77.1808418386005,2,2,0
2019-05-09,46,59,25,20391.91079513633,10.481898748268925,9.998338618725708,217,1237.4906612492505,2,3,0
2019-05-10,53,31,15,17550.934328323794,5.538319327708356,19.472943712607957,455,700.9577035625767,5,1,0
2019-05-11,95,59,15,22678.763636337113,14.698247141739207,13.826792383214553,353,27.951561081953894,6,9,0
2019-05-12,44,53,9,22517.945873672565,9.243302692768815,13.755984337551588,130,21.546019448224136,3,5,0
2019-05-13,74,38,18,20883.656892176565,13.017808830344276,25.171597082009107,260,136.21670713466978,3,6,0
2019-05-14,56,58,24,17126.642865113427,16.884673743371735,11.38949187663285,314,1003.8471142413432,1,6,0
2019-05-15,87,46,33,15970.182182370894,6.189690994081935,20.517792362486606,268,288.9026389270089,2,3,0
2019-05-16,12,47,22,15642.38575857126,2.3365150479519805,19.583836448646714,180,143.6118681951024,4,5,0
2019-05-17,10,44,29,20926.96066642878,8.412854490958164,20.46065574165815,145,94.05932754596803,3,3,0
2019-05-18,14,53,27,23250.353191428003,5.384145499560209,26.920512343729875,148,435.79087179841855,2,4,0
2019-05-19,99,42,12,23583.30431780925,21.771469233455583,15.871543481945576,397,177.3259172186217,3,5,0
2019-05-20,23,59,19,19636.220743434496,9.821348506927949,26.92474243549175,467,838.6205865775611,0,5,0
2019-05-21,36,48,9,22842.71299306717,9.944174775025102,11.198974719264747,382,27.448050285277116,2,3,0
2019-05-22,18,46,23,24468.80196341024,5.966812678469066,23.253705185332322,187,226.70413300984137,1,1,0
2019-05-23,88,57,34,17751.70112488068,14.814236376741244,27.381866894355543,220,84.49584254096686,3,7,0
2019-05-24,24,46,10,18979.603463807573,11.970449444032717,-0.27025042380116915,102,224.589707987816,4,6,0
2019-05-25,99,59,25,24314.789925966805,8.280290697499556,19.823035374349594,415,190.72951100859058,5,2,0
2019-05-26,51,59,22,18382.309673172847,11.269390197837637,19.41634677541957,326,247.06864401259088,1,3,0
2019-05-27,86,36,21,24138.76290321796,10.688761061613402,20.359242546027215,178,394.4854063303449,6,8,1
2019-05-28,60,61,17,24810.44862254466,12.383440383720577,28.557789604950496,244,595.7329997912701,1,7,0
2019-05-29,72,35,17,21618.10728574425,7.9521086771200755,16.181845668357123,341,1044.948802529111,1,12,0
2019-05-30,61,61,4,23168.902895041683,9.827528446704918,14.077457349102556,131,150.77585063278107,1,3,0
2019-05-31,13,70,13,22495.45564221085,7.808854851464802,20.395613413795875,362,86.28450435364763,2,5,0
2019-06-01,32,58,0,21995.34257615524,6.863440530194675,25.621567206530035,310,43.56169596553773,5,3,0
2019-06-02,24,28,21,18069.310729812325,10.56339062226388,22.7931744155241,170,229.26678841498602,3,6,0
2019-06-03,52,60,9,15570.943379079437,5.529161248667047,20.171609984155268,483,342.0364626881546,3,2,1
2019-06-04,38,72,29,18430.517325196506,17.28649694929657,18.853844985939155,296,38.53443476270541,5,3,0
2019-06-05,45,46,20,21669.359852039066,10.174756390327046,9.965348355093822,157,466.2234307038513,4,2,0
2019-06-06,22,49,24,16025.291982278013,5.791573853912158,22.929312643086057,211,134.10856917373854,2,6,0
2019-06-07,41,38,18,15119.17982978242,14.040902896347156,23.526702914792928,147,42.27446399753283,1,5,0
2019-06-08,80,53,21,16396.923726029385,9.936713833816375,16.53833215923367,284,63.54274350445667,2,6,0
2019-06-09,68,62,33,22157.359264107952,5.08254697209863,17.676400666035438,466,57.78661863419133,4,8,0
2019-06-10,95,56,7,24727.93701656444,6.984178393021507,14.758854895197581,426,58.823695116411095,2,6,0
2019-06-11,37,81,14,24830.646996148207,9.139087164977079,24.340617363946492,264,262.40822358025883,3,5,0
2019-06-12,75,50,26,19939.79149140188,5.509138163452942,18.170668596528113,314,352.0691934877133,4,10,0
2019-06-13,51,33,8,23693.523009923476,16.192736911920715,19.253476663389954,430,811.7119870761143,5,5,0
2019-06-14,54,51,7,22368.26455751504,10.64416568512417,23.146320581719646,429,73.83093134108564,0,2,1
2019-06-15,71,25,17,20010.402369846033,10.81542216168942,21.634870267147292,220,209.13004167728948,5,11,0
2019-06-16,66,44,8,20727.60532955087,7.063400467757197,22.816405673835135,312,77.70924236850902,7,1,0
2019-06-17,15,66,21,16372.271466168711,12.92844489353117,20.874186530177486,410,151.43006527045438,3,5,0
2019-06-18,37,53,13,24376.61460616592,11.624510584274224,20.985591675613502,140,33.77157973935821,3,4,0
2019-06-19,37,51,30,18519.297707317768,8.950657239297309,20.93818927182127,452,48.269643285430064,2,5,0
2019-06-20,53,68,26,19461.492564571694,9.475848134761597,22.264578796745052,388,331.31198643645433,5,5,0
2019-06-21,93,47,24,21716.60230997899,17.160510868879104,22.507535458570068,267,33.66753594183256,2,3,0
2019-06-22,39,62,22,18339.02471526554,7.456843365723655,13.876460196269743,133,274.4669814828569,5,5,0
2019-06-23,71,51,29,17542.591609889307,12.959981134321996,17.014028743573842,417,75.4787340183869,2,6,0
2019-06-24,84,53,13,21310.493932702208,9.427629300743389,18.983208682490023,374,21.63827235982751,1,4,0
2019-06-25,98,37,29,15249.840822818494,10.530261032237417,22.259091282477748,296,11.721569136671318,3,4,0
2019-06-26,71,45,26,22207.25112026679,8.723470825408413,27.987116814131213,290,641.2769010455846,3,4,0
2019-06-27,10,36,25,20140.2336987651,18.37026016607223,15.933884841833496,320,22.078041824337085,2,7,0
2019-06-28,36,49,21,21057.537305209342,11.074525376738027,24.39325837690094,109,139.1604221706385,5,6,0
2019-06-29,71,53,14,21318.80159246885,11.20315332750518,17.155267438597853,219,211.44201378126542,2,7,0
2019-06-30,86,38,18,20270.50156492564,5.30339423405421,26.85258417822327,222,39.91681928157216,8,3,0
2019-07-01,12,70,26,20825.33777440736,6.816974288431232,29.56171965898477,346,85.32560895421274,4,2,0
2019-07-02,79,52,2,21837.882008898745,11.309469882995048,11.259931531856685,459,239.56479187354793,6,3,0
2019-07-03,81,50,26,22531.18847179674,8.870936053013725,18.368332171463155,496,199.00226067194095,4,3,0
2019-07-04,36,57,14,22274.523912861205,5.4415595752372425,8.248776589912259,320,93.63689035179483,1,5,0
2019-07-05,18,41,11,23696.16457732262,13.810224726980481,11.550819877204473,360,188.08700149173092,6,9,0
2019-07-06,71,51,9,16894.434331674027,5.622810837338643,11.862373798731479,157,133.99002217721016,5,4,0
2019-07-07,46,42,2,19011.479694917976,19.532772516216706,23.120329874056434,414,56.237478982373254,8,9,0
2019-07-08,60,65,20,24477.96066014457,11.971821998235383,22.184918221635517,227,492.99077247276057,2,2,0
2019-07-09,53,39,13,18965.905743863295,9.293688434410043,24.006222273305244,286,182.6223912005238,2,8,0
2019-07-10,33,50,42,16248.700769059227,8.409060102729134,23.039582591874606,304,23.522768460581815,5,3,0
2019-07-11,88,53,21,20254.451263621795,6.689873656762428,22.425324107331228,185,250.05343853791595,4,8,0
2019-07-12,68,53,10,16094.909725544621,3.34319492026819,20.55928525672341,203,80.19684299987634,4,2,0
2019-07-13,41,44,23,17028.532387278654,6.308335515742292,19.34559847327309,242,111.11478980600616,5,9,0
2019-07-14,97,41,30,24983.187565709566,11.331119211983088,25.097988660223876,304,149.63437734025828,3,3,0
2019-07-15,61,44,25,20413.62638396132,5.01030336793162,20.06138944512019,228,67.15829850982838,3,4,0
2019-07-16,71,55,7,17840.58389040429,7.9073152230844865,22.62589490794299,345,900.5789757626151,6,5,0
2019-07-17,67,48,30,24947.74954573906,18.679580851532926,8.3485733298393,137,33.337479504892954,2,4,0
2019-07-18,61,57,26,24665.589185551435,6.841339385981907,14.1246545957046,462,157.06935781174295,3,6,0
2019-07-19,21,54,11,19407.390410842636,4.06451039454346,24.901121268226326,208,217.31579695701134,3,10,0
2019-07-20,48,27,5,17604.031087879084,5.232667672311341,16.657825332834076,408,154.65746604767276,2,5,0
2019-07-21,11,52,21,23383.9963809219,19.257790716521622,13.023212410837964,151,122.61068726502901,1,6,0
2019-07-22,12,72,11,22156.207169717858,9.898333863219314,23.206461657406848,100,101.79761922073283,1,2,0
2019-07-23,65,63,28,21869.414350035106,6.202715426521636,20.006671626392144,110,66.47460893357444,2,6,0
2019-07-24,90,54,17,23931.137413224726,11.132406156569633,17.96530414343208,413,65.30619109554422,2,5,0
2019-07-25,68,39,31,21894.171338713248,5.827999929145845,27.545554843705457,334,472.7390057258291,1,8,0
2019-07-26,11,54,21,17837.979430415493,2.90337899195561,26.68717053957709,227,95.41666764971934,0,4,0
2019-07-27,11,57,12,21938.631618757325,16.25717541011573,19.060814001924655,313,1251.6095810492548,2,6,0
2019-07-28,63,47,10,18058.13511283664,8.38887960219508,23.61187652409648,342,289.7273530329627,8,3,0
2019-07-29,96,53,21,22592.38979656995,20.031679838650064,8.806480938807205,143,10.302332082597559,4,4,0
2019-07-30,10,65,25,21197.47854491566,12.802917594575433,25.466795164486392,105,358.9772500792686,3,4,0
2019-07-31,28,41,26,15774.115519847506,8.116778028999862,14.567067456319801,255,140.72958249255748,4,4,0
2019-08-01,11,39,15,20128.35362435142,9.490236395653822,12.739290322915855,107,36.96783656661553,4,3,0
2019-08-02,62,56,13,18433.00969195741,9.425112890157704,11.073674760792239,104,546.8941096306337,1,2,0
2019-08-03,53,54,0,18285.706327322943,11.010933501820137,10.687240551106797,461,95.97455138122959,6,7,0
2019-08-04,99,60,23,21022.56302377257,4.661084370261609,25.40162770450221,281,88.1524445104669,2,2,1
2019-08-05,41,55,7,18223.24824469425,15.71541718963777,23.155723546424273,211,215.98090844352646,1,8,0
2019-08-06,79,44,18,22768.93748204873,11.4429220781108,16.1707017869527,372,465.3688605172188,7,3,0
2019-08-07,41,54,22,15707.914360111745,8.428629589671571,24.27449518369104,364,166.23711922660607,3,2,0
2019-08-08,77,38,33,21603.882523958255,16.417852736201127,17.025092853954146,311,154.7513055276724,3,5,1
2019-08-09,64,47,16,23091.948036567414,12.707820291045715,21.618247207443115,177,73.93113010097153,5,5,0
2019-08-10,84,55,14,21728.3168992043,4.46379326745073,17.58845486551054,369,457.49083376663657,2,5,0
2019-08-11,65,46,23,19972.291950199957,13.696943699977005,19.400184355663534,253,167.84665363018792,2,5,1
2019-08-12,26,74,22,24503.070137361814,6.37903165805455,15.45901546116178,320,118.45781108485482,1,4,0
2019-08-13,47,31,16,17999.384897980635,4.018581211172728,16.20091185599469,468,104.63657156134231,3,6,0
2019-08-14,33,44,32,15191.678875249778,5.75217042091516,22.720480904763125,446,414.39747409125283,2,5,0
2019-08-15,78,40,28,19319.89371463441,18.086756597542106,23.52389483380625,124,114.16861147434633,8,4,0
2019-08-16,79,42,13,15330.119359003273,12.468028339048528,17.929379426096943,453,415.46468559626004,0,7,0
2019-08-17,95,43,14,24539.36752526409,10.027126331261243,12.372298778657287,307,92.61260881055395,5,6,0
2019-08-18,20,36,20,17099.180457480514,11.317960188667266,32.35623522455616,102,305.6086872589319,1,4,0
2019-08-19,25,57,26,22889.270239488797,13.486602940853677,20.183483291156193,314,182.56315726167375,4,7,0
2019-08-20,82,44,4,22745.72083174365,8.439641927472561,21.560704147037015,494,57.35413897501075,2,8,0
2019-08-21,68,51,24,17177.288996829335,16.742109961557855,13.693351007937089,211,136.05019552358445,4,5,0
2019-08-22,79,45,23,21212.265304801673,9.517197397892534,26.076167744922163,291,16.599906844985043,4,3,0
2019-08-23,89,43,14,15480.789684864501,3.858913511616951,26.839476315793025,146,70.5244994209748,3,8,0
2019-08-24,12,66,23,19835.745857038673,19.48299730167746,11.459825711798429,320,30.636545530703962,2,3,0
2019-08-25,29,59,33,15146.471272724868,4.692846012288983,19.48807186187291,286,1093.8951015857606,1,2,0
2019-08-26,68,31,4,24211.438801808417,15.11871034636692,19.097815146901816,149,30.999447569367792,2,4,0
2019-08-27,45,30,16,24760.860241995717,3.530591092727614,31.942234082734203,296,1970.0035568105206,1,6,0
2019-08-28,28,60,18,17222.827666385852,10.183273191500879,27.218069035639477,315,248.21108483419937,2,8,0
2019-08-29,99,44,30,17081.060345963728,6.880255087178041,12.746107930154144,320,88.33468437804848,1,6,0
2019-08-30,76,33,36,22537.201765621296,11.45761639785832,16.359739102253627,479,332.4069929849384,1,9,0
2019-08-31,28,60,18,17533.793988293346,19.047663236430985,15.535029924097017,189,77.90462178547516,3,2,0
2019-09-01,29,51,25,23950.765591618452,8.254061114067268,21.858381884254626,331,36.25042551557183,1,2,0
2019-09-02,80,52,20,20739.29136122982,4.765696657970909,27.861044403822014,422,160.6246486427289,3,5,0
2019-09-03,61,58,20,18507.77623010312,10.207298100145792,20.545870162751598,357,298.8891283188834,2,9,1
2019-09-04,42,36,15,23326.9374634942,8.35692251061824,22.50583118218914,252,532.9410913498053,3,5,0
2019-09-05,49,33,13,19934.06700413395,5.311594556741928,16.678456478284282,355,244.13713828516705,2,2,0
2019-09-06,48,65,15,24116.329137084755,12.247123677410302,22.479038490797354,357,87.4139146342177,4,3,1
2019-09-07,91,35,21,24280.14236729381,2.2237595808157318,17.640410829927475,164,593.6417851097486,1,3,0
2019-09-08,10,37,2,16654.201521284092,6.28075340856162,11.796202343346792,289,474.83901283274366,3,4,0
2019-09-09,20,39,31,15023.234061319303,11.129897999175144,22.154353545675583,190,194.22504796096726,3,2,0
2019-09-10,66,70,11,24839.309401424023,6.285188597890338,19.950737891941937,272,498.08848742036156,4,8,0
2019-09-11,98,54,13,24061.375361274793,4.829446614234229,14.514012284076218,346,1319.2389693998118,4,5,0
2019-09-12,59,59,20,15554.452357038414,12.93779137168999,28.226926625519994,355,86.17809783177951,4,6,0
2019-09-13,32,51,24,23330.3426394107,10.261837506205994,16.167730052691425,215,60.35973947577735,3,2,0
2019-09-14,40,43,8,19578.049325592066,5.433211601214542,23.045506572194178,148,83.70601256075662,4,2,0
2019-09-15,51,56,16,17589.61605024975,8.385904888198025,18.187259047249178,326,38.488133385668135,5,5,0
2019-09-16,16,34,37,23787.465236769298,14.110992859006853,27.71788609428791,168,268.06105845478305,3,8,0
2019-09-17,25,39,14,16966.672323903073,3.3393855579274567,18.81206043135717,487,29.66882403367604,3,5,0
2019-09-18,99,57,16,24472.99999420067,17.037496452507117,11.62685955694874,225,525.8490708794324,2,8,0
